,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
3,15.10.2024 16:02,SU198080,ДИРС.группа пресейл-инженеров,Побег из города,0,0,1,Без категории,закончился
6,15.10.2024 15:49,SU196623,ДИРС.группа инженеров по инфраструктурному ПО,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
11,15.10.2024 14:35,SU196614,ДИМС.группа инженеров по мультимедийным системам,Чехол на пропуск Soft&Hard ,400,0,1,В стиле КРОК,закончился
27,15.10.2024 11:35,SU90939,ДИМС.группа систем безопасности,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
29,15.10.2024 10:18,SU173702,ДРПО.ГИС.выборы. группа тестировщиков,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
31,15.10.2024 9:09,SU196157,ДРПО.ГИС.суды. группа тестировщиков,Кофе КРОК ,150,0,1,Сервис,закончился
42,14.10.2024 15:18,SU190970,ДТК.Сервис.группа техподдержки сетей передачи данных,"Значок ""Маяк""",0,0,1,Лучше вместе,на витрине
56,14.10.2024 11:48,SU155295,ДВА.центральная служба технической поддержки,Кофе КРОК ,150,0,1,Сервис,закончился
57,14.10.2024 11:05,SU3297,ДРПО.Продуктовый офис,Кофе КРОК ,150,0,1,Сервис,закончился
58,14.10.2024 10:50,SU196933,ДИРС.Облачные сервисы.группа управления облачными проектами,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
59,14.10.2024 10:20,SU146744,ДПМП.группа администраторов BackOffice,Кофе КРОК ,150,0,1,Сервис,закончился
61,13.10.2024 21:46,SU1337,ДРПО.ГИС.цифровые экосистемы.группа технических менеджеров,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
70,11.10.2024 17:11,SU188752,ДРПО.ГИС.финтех.группа аналитиков,Кофе КРОК ,150,0,1,Сервис,закончился
73,11.10.2024 16:15,SU195903,ДТК.группа унифицированных коммуникаций,Бобер-антистресс,250,0,1,Мерч и сувениры КРОК,закончился
74,11.10.2024 16:15,SU195903,ДТК.группа унифицированных коммуникаций,"Пин ""КРОК""",300,0,1,Мерч и сувениры КРОК,закончился
75,11.10.2024 16:11,SU195903,ДТК.группа унифицированных коммуникаций,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
76,11.10.2024 16:09,SU195903,ДТК.группа унифицированных коммуникаций,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
77,11.10.2024 14:27,SU184169,ДИМС.группа СКС и Автоматизации инженерных систем,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
81,11.10.2024 13:00,SU112065,ДИРС.Облачные сервисы.группа специалистов поддержки ИТ-инфраструктур,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
83,11.10.2024 12:06,SU197449,ДРП.отдел кадров,Коврик для мыши,400,0,1,Прокачай эффективность,на витрине
84,11.10.2024 11:50,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
85,11.10.2024 11:41,SU170682,ДПМП.группа управления проектами по построению корпоративных систем,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
86,11.10.2024 11:41,SU170682,ДПМП.группа управления проектами по построению корпоративных систем,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
87,11.10.2024 11:40,SU170682,ДПМП.группа управления проектами по построению корпоративных систем,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
88,11.10.2024 11:15,SU93864,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Кофе коллеге,150,0,1,Лучше вместе,закончился
89,11.10.2024 11:14,SU93864,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Кофе коллеге,150,0,1,Лучше вместе,закончился
90,11.10.2024 11:06,SU193925,ДТК.Сервис.группа управления сервисными проектами,Кофе коллеге,150,0,1,Лучше вместе,закончился
91,11.10.2024 10:34,SU188752,ДРПО.ГИС.финтех.группа аналитиков,Кофе КРОК ,150,0,1,Сервис,закончился
96,11.10.2024 8:52,SU192341,ДТК.Сервис.группа управления сервисными проектами,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
103,10.10.2024 18:18,SU126042,ДПМП.группа управления проектами по инженерным и мультимедийным системам,Кофе коллеге,750,0,5,Лучше вместе,закончился
105,10.10.2024 17:06,SU104859,ДИРС.группа инженеров по инфраструктурному ПО,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
111,10.10.2024 15:25,SU132315,ДИРС.группа инженеров технической поддержки,Кофе коллеге,150,0,1,Лучше вместе,закончился
113,10.10.2024 15:06,SU132315,ДИРС.группа инженеров технической поддержки,Кофе коллеге,150,0,1,Лучше вместе,закончился
114,10.10.2024 14:31,SU197051,ДРП.отдел рекрутинга,Свитшот SOFT `24,0,100,1,В стиле КРОК,на витрине
118,10.10.2024 13:57,SU198194,ДТК.Сервис.Первая линия,Полароид,0,0,1,Сервис,закончился
120,10.10.2024 13:33,SU155531,ДРПО.ГИС.росстат. группа разработчиков,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
121,10.10.2024 13:33,SU155531,ДРПО.ГИС.росстат. группа разработчиков,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
123,10.10.2024 12:21,SU1388,ФД.отдел налоговой и бухгалтерской отчетности,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
133,09.10.2024 18:27,SU196164,ДИРС.группа клиентского сервиса,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
136,09.10.2024 16:04,SU1321,Служба сопровождения проектной документации,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
138,09.10.2024 15:43,SU189154,ДИРС.группа инженеров по инфраструктурному ПО,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
139,09.10.2024 15:23,SU196937,ДИРС.Облачные сервисы.группа управления облачными проектами,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
144,09.10.2024 14:35,SU163517,ДРП.отдел кадров,Кофе КРОК ,150,0,1,Сервис,закончился
147,09.10.2024 14:13,SU195213,ДИРС.группа инженеров по вычислительной инфраструктуре,Пуф Крок ,7000,0,2,В стиле КРОК,закончился
150,09.10.2024 13:24,SU197144,ДИМС.Группа электроснабжения и климатических систем,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
151,09.10.2024 12:51,SU152388,ДВА.центральная служба технической поддержки,Кофе коллеге,150,0,1,Лучше вместе,закончился
159,09.10.2024 11:34,SU196615,ДИРС.группа клиентского сервиса,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
161,09.10.2024 11:12,SU84101,ДРП.отдел кадров,Кофе КРОК ,150,0,1,Сервис,закончился
164,09.10.2024 11:03,SU65368,ДИМС.Группа электроснабжения и климатических систем,Кофе коллеге,150,0,1,Лучше вместе,закончился
171,09.10.2024 10:05,SU196950,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Best Hunter x ДБП,0,0,1,Без категории,закупка
172,09.10.2024 10:04,SU196950,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
173,09.10.2024 10:04,SU196950,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
180,08.10.2024 20:14,SU187113,ДИРС.группа инженеров систем управления ИТ-процессами,Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
181,08.10.2024 20:14,SU187113,ДИРС.группа инженеров систем управления ИТ-процессами,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
183,08.10.2024 20:09,SU187113,ДИРС.группа инженеров систем управления ИТ-процессами,Панама КРОК х Humanist,1100,0,1,Мерч и сувениры КРОК,закупка
189,08.10.2024 18:19,SU121849,ДТК.группа технических менеджеров,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
196,08.10.2024 17:21,SU165856,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,"Значок ""Вершины"" ",0,0,1,Лучше вместе,на витрине
197,08.10.2024 17:20,SU90939,ДИМС.группа систем безопасности,Кофе коллеге,150,0,1,Лучше вместе,закончился
202,08.10.2024 16:42,SU143963,ДРП.Образовательные проекты brainz для студентов и школьников,Побег из города,0,0,1,Без категории,закончился
203,08.10.2024 16:41,SU143963,ДРП.Образовательные проекты brainz для студентов и школьников,Подарок за успешную рекомендацию в ДРПО,0,0,1,Мерч и сувениры КРОК,закончился
206,08.10.2024 15:40,SU47737,ДПМП.группа администраторов проектов по инженерным и мультимедийным системам,Кофе коллеге,150,0,1,Лучше вместе,закончился
209,08.10.2024 14:53,SU191024,ДИРС.группа управления сервисными проектами,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
211,08.10.2024 14:49,SU189931,ДИРС.группа инженеров по инфраструктурному ПО,Подарок за успешную рекомендацию в ДРПО,0,0,1,Мерч и сувениры КРОК,закончился
212,08.10.2024 14:49,SU189931,ДИРС.группа инженеров по инфраструктурному ПО,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
213,08.10.2024 14:34,SU196633,ДРП.Геймификация,Пожелание для коллеги на плазме,0,0,1,Лучше вместе,закончился
216,08.10.2024 14:11,SU163534,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,Подарок за успешную рекомендацию в ДРПО,0,0,1,Мерч и сувениры КРОК,закончился
217,08.10.2024 13:56,SU197169,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,Полароид,0,0,1,Сервис,закончился
218,08.10.2024 13:40,SU3628,ДИРС.группа развития бизнеса,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
219,08.10.2024 13:15,SU3628,ДИРС.группа развития бизнеса,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
225,08.10.2024 12:34,SU1388,ФД.отдел налоговой и бухгалтерской отчетности,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
228,08.10.2024 12:01,SU190414,ДРПО.ГИС.выборы. группа аналитиков,Футболка SOFT `24,950,0,1,В стиле КРОК,на витрине
229,08.10.2024 11:59,SU184169,ДИМС.группа СКС и Автоматизации инженерных систем,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,закончился
231,08.10.2024 11:58,SU184169,ДИМС.группа СКС и Автоматизации инженерных систем,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
233,08.10.2024 11:54,SU156986,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
236,08.10.2024 8:50,SU168542,ДПМП.группа управления проектами по разработке программных решений,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
237,08.10.2024 7:50,SU449,ДИРС.Разработка инфраструктурных продуктов.группа развития бизнеса,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
240,07.10.2024 20:53,SU106947,ДИРС.группа инженеров поддержки инфраструктурного ПО,Набор с Митапками,0,0,1,Без категории,на витрине
241,07.10.2024 20:26,SU43520,ДТК.Сервис.группа управления сервисными проектами,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
243,07.10.2024 18:40,SU163106,ДРПО.ГИС.выборы. группа тестировщиков,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,на витрине
246,07.10.2024 16:45,SU197093,ДИРС.Облачные сервисы.группа поддержки и эксплуатации систем в ЦОД,Кофе КРОК ,150,0,1,Сервис,закончился
252,07.10.2024 15:19,SU193925,ДТК.Сервис.группа управления сервисными проектами,Кофе КРОК ,150,0,1,Сервис,закончился
258,07.10.2024 12:27,SU190414,ДРПО.ГИС.выборы. группа аналитиков,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
259,07.10.2024 11:58,SU196800,ДВА.группа разработки HR-tech решений,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
262,06.10.2024 14:36,SU169156,ДБП.группа поддержки продаж,"Значок ""Маяк""",0,0,1,Лучше вместе,на витрине
