,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
0,SU181063,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"2 г., 9 мес.,12 дн.",Мужской,23
1,SU198055,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Инженер-разработчик,нет,"0 г., 9 мес.,15 дн.",Женский,25
4,SU160331,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Инженер-разработчик,нет,"3 г., 7 мес.,10 дн.",Мужской,27
27,SU196835,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Младший менеджер проектов,нет,"1 г., 4 мес.,12 дн.",Мужской,32
29,SU168524,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"3 г., 2 мес.,16 дн.",Мужской,27
31,SU150221,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"4 г., 1 мес.,11 дн.",Мужской,38
36,SU99248,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Аналитик,нет,"6 г., 7 мес.,29 дн.",Женский,26
37,SU188408,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Руководитель группы,РМ,"2 г., 3 мес.,13 дн.",Мужской,38
38,SU197667,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Младший инженер-разработчик,нет,"1 г., 0 мес.,16 дн.",Мужской,22
49,SU166390,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Инженер-разработчик,нет,"3 г., 2 мес.,9 дн.",Женский,22
54,SU56641,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,"Эксперт, Тимлид",ТЛ,"11 г., 1 мес.,18 дн.",Мужской,31
57,SU83894,Департамент внутренней автоматизации,,центральная служба технической поддержки,Ведущий инженер технической поддержки,нет,"8 г., 11 мес.,28 дн.",Женский,32
61,SU44374,Департамент телекоммуникаций,,группа сетевых решений,Эксперт,нет,"13 г., 5 мес.,14 дн.",Мужской,45
62,SU197835,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Менеджер по продвижению решений,РМ,"0 г., 11 мес.,12 дн.",Женский,26
63,SU93511,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа разработчиков,Ведущий инженер-разработчик,нет,"7 г., 2 мес.,17 дн.",Мужской,34
